,city,id,lat,temp,humidity,clouds,wind,lng,Country
258,Mossamedes,3347019,-15.2,76.23,75,100,4.09,12.15,AO
259,Bengkulu,1649150,-3.8,74.61,91,95,3.27,102.27,ID
260,Port Macquarie,2152659,-31.43,61.36,100,90,12.75,152.92,AU
261,Ngunguru,2186111,-35.62,65.59,75,0,5.01,174.5,NZ
262,Čejkovice,3078181,48.91,34.77,43,49,6.93,16.94,CZ
263,Kuusamo,649924,65.97,-7.6,83,15,1.12,29.18,FI
264,Eyrarbakki,3413604,63.86,18.81,58,20,10.29,-21.15,IS
265,Disna,629055,55.57,24.03,69,0,9.82,28.2,BY
266,San Lazaro,3581514,18.04,84.2,70,20,8.05,-88.66,BZ
267,Sakakah,102527,29.97,60.8,67,75,20.8,40.21,SA
268,Douglas,5067114,41.3,34.75,74,90,6.93,-96.17,US
269,Carndonagh,2965761,55.25,39.51,92,36,8.68,-7.27,IE
270,Morant Bay,3489440,17.88,85.06,62,20,10.29,-76.41,JM
271,Câmara de Lobos,2270380,32.63,57.58,76,75,11.41,-16.97,PT
272,Puerto del Rosario,2512186,28.5,64.4,68,20,13.87,-13.86,ES
273,Kumul,1529484,42.8,35.91,31,60,4.12,93.45,CN
274,Grafton,4938048,42.21,49.71,39,1,14.99,-71.69,US
275,Orbetello,3171985,42.44,49.03,87,40,1.12,11.22,IT
276,Sanguéya,2416061,10.7,78.21,74,28,5.88,-14.37,GN
277,Krasnaya Gora,542788,53.0,30.2,68,75,13.42,31.6,RU
278,Bose,6457397,45.46,46.13,81,75,3.36,8.01,IT
279,Ures,3980782,29.43,73.29,43,0,1.99,-110.4,MX
280,Angoche,1052944,-16.23,73.71,95,46,4.47,39.91,MZ
281,Kulhudhuffushi,1337613,6.62,83.43,75,4,6.98,73.07,MV
282,Shenjiamen,1795632,29.96,51.57,70,0,11.99,122.3,CN
283,Monduli,153247,-3.3,68.67,86,100,8.84,36.45,TZ
284,Ocós,3592086,14.51,89.6,62,40,6.93,-92.19,GT
285,Touros,3386213,-5.2,82.4,74,40,9.17,-35.46,BR
286,Guerrero Negro,4021858,27.98,67.59,56,0,11.63,-114.06,MX
287,Price,5545269,39.6,42.85,81,90,5.82,-110.81,US
288,Houma,4328010,29.6,79.97,65,1,11.41,-90.72,US
289,Sungai Raya,1625908,0.7,74.79,96,100,2.42,108.9,ID
290,Sekoma,933102,-24.4,78.75,35,74,7.27,23.88,BW
